# R DS
1.057420635683519426e-02 2.623136846263047772e+01
1.363873519173811229e-02 1.558731816145753157e+01
1.759140037116024152e-02 1.701644793510531883e+01
2.268959420855356721e-02 1.196188249937003967e+01
2.926530432408507368e-02 1.349533686910286789e+01
3.774673223809543732e-02 1.051918428096852409e+01
4.868617728611359524e-02 7.020991331424030868e+00
6.279600161898633848e-02 5.911950462421676100e+00
8.099501828122505909e-02 4.355443504576784974e+00
1.044683230977003496e-01 3.310775341599559773e+00
1.347444665417815157e-01 3.147489997548332141e+00
1.737949909146091210e-01 3.361220682067647569e+00
2.241628145645833126e-01 2.634264989143793922e+00
2.891278233571451528e-01 2.515677294157531385e+00
3.729204524917136832e-01 3.081426532105880689e+00
4.809971668303907877e-01 2.846575551131143023e+00
6.203957786520267748e-01 2.718352764798749988e+00
8.001937406524780583e-01 2.599145369549031859e+00
1.032099257623331212e+00 2.499322546086822250e+00
