# R DS
1.057420635683519426e-02 1.580308560247971705e+01
1.363873519173811229e-02 1.150569706985912433e+01
1.759140037116024152e-02 9.780878394651614016e+00
2.268959420855356721e-02 5.189112662355571004e+00
2.926530432408507368e-02 7.500575741665079121e+00
3.774673223809543732e-02 5.225983713115782692e+00
4.868617728611359524e-02 3.185773950757789130e+00
6.279600161898633848e-02 2.724476906801867049e+00
8.099501828122505909e-02 1.959831910941483901e+00
1.044683230977003496e-01 1.276917063938600050e+00
1.347444665417815157e-01 1.700795452898444804e+00
1.737949909146091210e-01 1.569666234934921967e+00
2.241628145645833126e-01 1.919359925543675516e+00
2.891278233571451528e-01 2.122903478932225418e+00
3.729204524917136832e-01 2.210586864771361792e+00
4.809971668303907877e-01 2.194997845937908920e+00
6.203957786520267748e-01 2.151043255144288846e+00
8.001937406524780583e-01 2.087535067905951891e+00
1.032099257623331212e+00 2.151644048111268859e+00
