# R DS
1.057420635683519426e-02 1.481317838417364463e+01
1.363873519173811229e-02 1.268980538623687337e+01
1.759140037116024152e-02 1.295993733381388324e+01
2.268959420855356721e-02 1.008820159938479932e+01
2.926530432408507368e-02 1.042245847199862752e+01
3.774673223809543732e-02 1.022800714366708874e+01
4.868617728611359524e-02 5.674046659468758413e+00
6.279600161898633848e-02 4.048516880226804560e+00
8.099501828122505909e-02 3.282903688613932225e+00
1.044683230977003496e-01 2.270435533912998682e+00
1.347444665417815157e-01 2.010091509039811264e+00
1.737949909146091210e-01 2.249417679317523788e+00
2.241628145645833126e-01 2.166840735980014809e+00
2.891278233571451528e-01 2.495488483083172504e+00
3.729204524917136832e-01 2.722943539833177162e+00
4.809971668303907877e-01 2.662205762383599073e+00
6.203957786520267748e-01 2.456897984505470589e+00
8.001937406524780583e-01 2.331108557313659624e+00
1.032099257623331212e+00 2.255900058806396213e+00
