# R DS
1.057420635683519600e-02 2.063576409792954180e+01
1.363873519173811402e-02 -1.302888550900622988e+01
1.759140037116024152e-02 2.344650848342359595e+01
2.268959420855356721e-02 1.212873031613247399e+01
2.926530432408508062e-02 1.074013651745254627e+01
3.774673223809544426e-02 8.043125112610814753e+00
4.868617728611360218e-02 1.655721013710210343e+01
6.279600161898635236e-02 2.318285799513271961e+00
8.099501828122505909e-02 6.293045426282496635e+00
1.044683230977003635e-01 3.954935797220868743e+00
1.347444665417815157e-01 2.219946045364764142e+00
1.737949909146091487e-01 2.576551656092928244e+00
2.241628145645833403e-01 1.067502845529508582e+00
2.891278233571451528e-01 2.227333344531761572e+00
3.729204524917137387e-01 1.695995484320518276e+00
4.809971668303908432e-01 2.451438342462490816e+00
6.203957786520268858e-01 1.756042532392918742e+00
8.001937406524781693e-01 2.467807467815069877e+00
1.032099257623331212e+00 1.888524629939681398e+00
