# R DS_M*8 DS_M*9
1.057420635683519426e-02 7.536936785599356980e+00 3.632507788876463195e+01
1.363873519173811229e-02 3.040683841097501272e+01 1.597895539454517078e+01
1.759140037116024152e-02 1.524534386086253690e+00 3.625673569617451619e+01
2.268959420855356721e-02 1.060382382039926341e+01 1.321777669124125687e+01
2.926530432408507368e-02 7.510360984940644968e+00 1.115592617621970106e+01
3.774673223809543732e-02 6.430184807188791041e+00 1.240609535216805348e+01
4.868617728611359524e-02 4.367712045528610254e+00 1.400487795757815768e+01
6.279600161898633848e-02 3.262634583571164981e+00 8.427785502326583966e+00
8.099501828122505909e-02 3.306453774264663803e+00 8.180647008762178984e+00
1.044683230977003496e-01 2.325655420151004904e+00 4.994703229344446882e+00
1.347444665417815157e-01 2.556716381873898492e+00 4.555900702696161098e+00
1.737949909146091210e-01 1.400329321699822716e+00 4.454645347291183555e+00
2.241628145645833126e-01 7.756218628325111109e-01 3.943853093330890403e+00
2.891278233571451528e-01 1.491096225276956400e+00 4.012903598112966819e+00
3.729204524917136832e-01 1.631208010141453668e+00 3.747618413762027423e+00
4.809971668303907877e-01 1.910455468952711566e+00 2.828403641942463409e+00
6.203957786520267748e-01 2.030998968717963482e+00 3.217604805501189436e+00
8.001937406524780583e-01 2.356416988283148939e+00 3.202799677447325077e+00
1.032099257623331212e+00 2.046623596043541493e+00 2.893326914651653592e+00
