# R DS_M*8 DS_M*9
1.057420635683519426e-02 3.698941022619675323e+01 2.856907440285764110e+01
1.363873519173811229e-02 1.764012349576456629e+01 6.056835632631025312e+00
1.759140037116024152e-02 1.009324885337198729e+01 2.926623690579529935e+01
2.268959420855356721e-02 1.059262388007227784e+01 2.089117991443161415e+01
2.926530432408507368e-02 6.935047457491917200e+00 1.124990435763710828e+01
3.774673223809543732e-02 1.077143010186124350e+01 1.108484230390899050e+01
4.868617728611359524e-02 4.932083990397200246e+00 9.877824226915599581e+00
6.279600161898633848e-02 2.569114473645893071e+00 9.818574058436114527e+00
8.099501828122505909e-02 2.421004317720746979e+00 7.248035599203408452e+00
1.044683230977003496e-01 2.099748771664020186e+00 5.510449039297466989e+00
1.347444665417815157e-01 2.638887609294128467e+00 5.700343065702219825e+00
1.737949909146091210e-01 1.782413343925510540e+00 4.912378609354474790e+00
2.241628145645833126e-01 1.740203823683319717e+00 3.433157861868412652e+00
2.891278233571451528e-01 2.151280862223214907e+00 2.657465982392861914e+00
3.729204524917136832e-01 1.761443277914563232e+00 3.533149883124299340e+00
4.809971668303907877e-01 2.129257028895231940e+00 3.390870925986112727e+00
6.203957786520267748e-01 2.407485691750484325e+00 3.470029218414650618e+00
8.001937406524780583e-01 2.500865173976478228e+00 3.184360901549042833e+00
1.032099257623331212e+00 2.250063285235439192e+00 2.888841570820002591e+00
