# R DS_M*8 DS_M*9
1.057420635683519426e-02 1.951779948419155275e+01 5.735671136251542634e+01
1.363873519173811229e-02 3.139473841462307746e+01 4.325871158610064882e+00
1.759140037116024152e-02 1.441515136491644711e+01 2.906027487992059477e+01
2.268959420855356721e-02 1.615056661062590493e+01 2.057204042512524467e+01
2.926530432408507368e-02 8.452893359689854336e+00 1.647624548612565576e+01
3.774673223809543732e-02 5.881586631557152778e+00 1.372165565827901013e+01
4.868617728611359524e-02 3.201370862150280772e+00 1.221335276512084178e+01
6.279600161898633848e-02 2.362505684656652782e+00 1.113582892299302252e+01
8.099501828122505909e-02 2.570462894082808702e+00 6.088766900626795042e+00
1.044683230977003496e-01 1.942744379888264428e+00 4.573243577085280620e+00
1.347444665417815157e-01 1.507083659682439070e+00 3.990319823562078039e+00
1.737949909146091210e-01 1.999814091143625960e+00 1.969725939769574996e+00
2.241628145645833126e-01 1.439809291584658979e+00 3.743388970121126480e+00
2.891278233571451528e-01 1.801106376686125055e+00 3.646153401869766775e+00
3.729204524917136832e-01 1.913108266319639261e+00 3.337347126394465402e+00
4.809971668303907877e-01 2.093998887110901208e+00 2.754531964839736169e+00
6.203957786520267748e-01 2.131647954544869883e+00 2.700976849010288561e+00
8.001937406524780583e-01 2.350553543478262952e+00 2.912994392533108101e+00
1.032099257623331212e+00 2.056210659166950450e+00 2.906319877506287952e+00
