# R DS
1.057420635683519426e-02 2.207958458881040187e+01
1.363873519173811229e-02 3.070748643677565326e+01
1.759140037116024152e-02 1.780704379226495249e+01
2.268959420855356721e-02 2.070618311394610345e+01
2.926530432408507368e-02 1.644065637475378949e+01
3.774673223809543732e-02 9.031835196307056890e+00
4.868617728611359524e-02 4.471952850983059946e+00
6.279600161898633848e-02 2.275447594322292932e+00
8.099501828122505909e-02 8.199551755533464714e+00
1.044683230977003496e-01 5.056602227781542780e+00
1.347444665417815157e-01 3.785203486487486835e+00
1.737949909146091210e-01 4.529017243924817748e+00
2.241628145645833126e-01 2.769220651288837765e+00
2.891278233571451528e-01 3.676691674043652380e+00
3.729204524917136832e-01 3.112266018406724122e+00
4.809971668303907877e-01 3.472311306617300808e+00
6.203957786520267748e-01 2.817286207261848308e+00
8.001937406524780583e-01 2.891862470362143611e+00
1.032099257623331212e+00 2.921796930341308496e+00
