# R DS_M*8 DS_M*9
1.057420635683519426e-02 2.552768160066852232e+01 4.871678091137945188e+01
1.363873519173811229e-02 3.143017371202466848e+01 3.273408111280739519e+01
1.759140037116024152e-02 4.477722718513242661e+00 3.520130934083904606e+01
2.268959420855356721e-02 1.635463488620955630e+01 9.011111800075676470e+00
2.926530432408507368e-02 1.064385429584780418e+01 1.152846755737056483e+01
3.774673223809543732e-02 1.100984698296337250e+01 1.361082212090972554e+01
4.868617728611359524e-02 3.432619643686460886e+00 1.730432405440160082e+01
6.279600161898633848e-02 2.737133661769447723e+00 6.206163117331218615e+00
8.099501828122505909e-02 3.293195175942762898e+00 7.042209099710554199e+00
1.044683230977003496e-01 4.731759022055975206e-01 5.193305808043928273e+00
1.347444665417815157e-01 9.176942198933276673e-01 4.143745983233397823e+00
1.737949909146091210e-01 2.064632700151914690e+00 4.073513912027086015e+00
2.241628145645833126e-01 9.908883922588122006e-01 3.022252848951202164e+00
2.891278233571451528e-01 2.086983426009073828e+00 4.136686505488041732e+00
3.729204524917136832e-01 1.712687022160082284e+00 3.392218897365081087e+00
4.809971668303907877e-01 1.985343442207400555e+00 3.507758131106299970e+00
6.203957786520267748e-01 2.048551257189690222e+00 3.049393767827600410e+00
8.001937406524780583e-01 2.252460605051656017e+00 3.012570996754557751e+00
1.032099257623331212e+00 2.125725441727718934e+00 2.845215764688269200e+00
