# R DS_M*8 DS_M*9
1.057420635683519426e-02 1.784356476709665174e+01 2.480870273973242135e+01
1.363873519173811229e-02 4.993842216499985831e+00 2.352834133594316768e+01
1.759140037116024152e-02 5.272079727020972051e+00 3.005328558629093294e+01
2.268959420855356721e-02 1.058742598050751305e+01 8.384330872651585054e+00
2.926530432408507368e-02 2.709808827812353993e+00 1.519227097928630776e+01
3.774673223809543732e-02 7.967170507524524936e+00 7.625080538689354981e+00
4.868617728611359524e-02 1.847159309921128090e+00 1.141123840338470252e+01
6.279600161898633848e-02 4.768296051485862108e+00 1.378589901398545159e+01
8.099501828122505909e-02 3.038023889218429918e+00 6.681306894659656770e+00
1.044683230977003496e-01 2.187559634865057667e+00 5.571690155915606901e+00
1.347444665417815157e-01 1.938775442219249134e+00 4.652714771524457227e+00
1.737949909146091210e-01 1.321956180710508688e+00 3.567350167549875106e+00
2.241628145645833126e-01 1.820802653758310186e+00 2.803131526277746755e+00
2.891278233571451528e-01 1.928440476891787325e+00 3.333514133746771080e+00
3.729204524917136832e-01 1.780798467143398733e+00 3.710733945663335032e+00
4.809971668303907877e-01 2.115929578485766793e+00 3.184850642596494641e+00
6.203957786520267748e-01 2.318917740424046858e+00 3.237350990031857112e+00
8.001937406524780583e-01 2.300222858739605858e+00 3.454605378052563847e+00
1.032099257623331212e+00 2.317345110370570893e+00 3.137519329328625428e+00
