# R DS
1.057420635683519600e-02 1.939569477034656586e+01
1.363873519173811402e-02 -4.095558260221417868e+01
1.759140037116024152e-02 3.257265811880008499e+01
2.268959420855356721e-02 -4.483809031689445668e+00
2.926530432408508062e-02 7.566716252440637724e+00
3.774673223809544426e-02 -1.378565080461850023e+01
4.868617728611360218e-02 1.403941994874092458e+01
6.279600161898635236e-02 8.051536171709827272e+00
8.099501828122505909e-02 4.246347493239500004e+00
1.044683230977003635e-01 2.307195375554501826e+00
1.347444665417815157e-01 -4.912542014104162025e-01
1.737949909146091487e-01 7.561463350304461484e-01
2.241628145645833403e-01 -5.215922597371652758e-01
2.891278233571451528e-01 2.339452207670857486e+00
3.729204524917137387e-01 2.300393223735878845e+00
4.809971668303908432e-01 1.515653180007533241e+00
6.203957786520268858e-01 2.775424588857094310e+00
8.001937406524781693e-01 2.191671148680045089e+00
1.032099257623331212e+00 1.871295845768785382e+00
