# R DS_M*8 DS_M*9
1.057420635683519426e-02 2.935901215406239828e+01 2.289216145586468087e+01
1.363873519173811229e-02 2.939984962779970701e+01 1.453329667622788923e+00
1.759140037116024152e-02 1.008732180597437456e+01 1.303192811485500613e+01
2.268959420855356721e-02 9.278660017908165969e+00 4.799312218836062627e+00
2.926530432408507368e-02 1.192471735873808392e+01 1.328622432526472963e+01
3.774673223809543732e-02 8.209057655767356465e+00 1.231859994352551624e+01
4.868617728611359524e-02 3.827467582863908646e+00 1.040089015382101145e+01
6.279600161898633848e-02 3.571368275907695455e+00 5.205310400572986218e+00
8.099501828122505909e-02 3.016191665220151030e+00 5.179835215640951951e+00
1.044683230977003496e-01 2.470982353972836165e+00 6.865209576499826660e+00
1.347444665417815157e-01 1.956845829828150807e+00 4.670068407974557800e+00
1.737949909146091210e-01 2.173385710502935719e+00 4.393488207208219087e+00
2.241628145645833126e-01 1.657484723331049459e+00 4.399751464003272439e+00
2.891278233571451528e-01 2.508743428107647944e+00 3.466049640967874268e+00
3.729204524917136832e-01 2.329428689444899891e+00 3.292821861684999796e+00
4.809971668303907877e-01 2.093854463887546036e+00 3.433362051106406021e+00
6.203957786520267748e-01 2.439457010834834350e+00 3.518240223439605519e+00
8.001937406524780583e-01 2.360759793010326568e+00 3.622174503782169097e+00
1.032099257623331212e+00 2.283829763204883623e+00 3.071708099723788887e+00
