# R DS
1.057420635683519600e-02 1.502424695778990049e+01
1.363873519173811402e-02 3.854686272526477353e+01
1.759140037116024152e-02 4.522262754272376384e+01
2.268959420855356721e-02 3.117667076493831857e+01
2.926530432408508062e-02 2.392310182396595408e+01
3.774673223809544426e-02 1.989166411859449823e+01
4.868617728611360218e-02 1.959302557435589165e+01
6.279600161898635236e-02 6.430592193364536691e+00
8.099501828122505909e-02 9.609806663425592532e+00
1.044683230977003635e-01 5.231631795066067347e+00
1.347444665417815157e-01 4.359108410232453323e+00
1.737949909146091487e-01 2.101737230096105691e+00
2.241628145645833403e-01 2.432616070721652868e+00
2.891278233571451528e-01 2.875329580550535891e+00
3.729204524917137387e-01 3.063862134509955926e+00
4.809971668303908432e-01 2.854786927043066136e+00
6.203957786520268858e-01 2.175809110330774399e+00
8.001937406524781693e-01 2.161900106145035139e+00
1.032099257623331212e+00 1.971087027663566360e+00
