# R DS_M*8 DS_M*9
1.057420635683519426e-02 3.635929237985669804e+00 7.038611964991480363e+01
1.363873519173811229e-02 1.969052853609975173e+01 1.188916057183273445e+01
1.759140037116024152e-02 1.814126935114870776e+01 4.371490654175176616e+01
2.268959420855356721e-02 1.376416166190566415e+01 8.798624728562728592e+00
2.926530432408507368e-02 5.487635379491866416e+00 1.893094331961460242e+01
3.774673223809543732e-02 4.093900741412437760e+00 1.088753429035814868e+01
4.868617728611359524e-02 3.958962751311444261e+00 9.860319373554954581e+00
6.279600161898633848e-02 3.102061120301208064e+00 5.927974561870949621e+00
8.099501828122505909e-02 4.528214944267856090e+00 4.577580563685727633e+00
1.044683230977003496e-01 1.109091916272304079e+00 6.238015989806462436e+00
1.347444665417815157e-01 1.041164749372444964e+00 4.432631971156735240e+00
1.737949909146091210e-01 1.689596264846662699e+00 2.988777112669804836e+00
2.241628145645833126e-01 1.188944436359565815e+00 3.821921173570407504e+00
2.891278233571451528e-01 1.886087554260219790e+00 3.298822571790489988e+00
3.729204524917136832e-01 1.545231820186640848e+00 3.461276174107251968e+00
4.809971668303907877e-01 2.011609442552376947e+00 3.027631497451600762e+00
6.203957786520267748e-01 2.064502298863243990e+00 3.107140457185315174e+00
8.001937406524780583e-01 2.223773581019093282e+00 3.058658458111303879e+00
1.032099257623331212e+00 2.168878867950380762e+00 2.884380918497078561e+00
