# R DS_M*8 DS_M*9
1.057420635683519426e-02 2.552456533192516019e+01 4.194230461459184056e+01
1.363873519173811229e-02 2.813607752010291563e+01 1.828213146955359392e+01
1.759140037116024152e-02 1.751859234823308498e+01 1.995648155553858416e+01
2.268959420855356721e-02 1.931712529420088842e+01 1.695350828952689426e+01
2.926530432408507368e-02 1.410881159197201740e+01 8.997495136675976113e+00
3.774673223809543732e-02 7.106671232033781926e+00 1.374172887806237320e+01
4.868617728611359524e-02 3.778767710406365943e+00 7.936487040587304698e+00
6.279600161898633848e-02 1.740870913873486803e+00 6.602138282950602566e+00
8.099501828122505909e-02 1.599515013516290551e+00 6.383174997351056312e+00
1.044683230977003496e-01 2.735413504012564889e+00 4.951255377608474895e+00
1.347444665417815157e-01 1.918903358903172984e+00 5.282678526318290047e+00
1.737949909146091210e-01 1.030579937557924763e+00 5.428697019398795121e+00
2.241628145645833126e-01 1.483216724916591733e+00 3.226076294171022596e+00
2.891278233571451528e-01 1.990338590844830335e+00 3.535626640759882200e+00
3.729204524917136832e-01 1.863765370651588427e+00 2.990735533428266812e+00
4.809971668303907877e-01 2.025474138291166515e+00 3.182300023852046689e+00
6.203957786520267748e-01 2.191701841839764686e+00 3.197859530958343743e+00
8.001937406524780583e-01 2.388550668318068837e+00 3.052102856989869384e+00
1.032099257623331212e+00 2.056029151033297531e+00 3.137460594793060498e+00
