# R DS
1.057420635683519426e-02 -1.596160145297611521e+01
1.363873519173811229e-02 3.831438625803496478e+01
1.759140037116024152e-02 2.083143832763942171e+01
2.268959420855356721e-02 2.604476642547517784e+01
2.926530432408507368e-02 1.624826483372664754e+01
3.774673223809543732e-02 9.374719096642433414e+00
4.868617728611359524e-02 -3.482718975991700994e+00
6.279600161898633848e-02 9.093364905013730848e+00
8.099501828122505909e-02 4.580025564763451129e+00
1.044683230977003496e-01 5.606478548766930636e+00
1.347444665417815157e-01 2.493904249579019350e+00
1.737949909146091210e-01 1.037861830303561606e+00
2.241628145645833126e-01 1.812882796861042589e+00
2.891278233571451528e-01 3.808009962926547587e+00
3.729204524917136832e-01 3.811186303965649724e+00
4.809971668303907877e-01 2.663242503194534816e+00
6.203957786520267748e-01 2.732613284790399888e+00
8.001937406524780583e-01 2.912142763440165094e+00
1.032099257623331212e+00 2.652477849686991629e+00
