# R DS
1.057420635683519426e-02 -6.928695653282489708e+00
1.363873519173811229e-02 -2.229202723508873163e+00
1.759140037116024152e-02 7.021390274067536907e+00
2.268959420855356721e-02 3.791458289412890537e+00
2.926530432408507368e-02 1.689787471101074345e+01
3.774673223809543732e-02 -4.782808201384689539e+00
4.868617728611359524e-02 4.318765133296088798e+00
6.279600161898633848e-02 3.956447832516545748e+00
8.099501828122505909e-02 2.151356333939559384e+00
1.044683230977003496e-01 5.657125746622034157e+00
1.347444665417815157e-01 1.484505113737957904e+00
1.737949909146091210e-01 3.538690830647613250e+00
2.241628145645833126e-01 1.912605834993075460e+00
2.891278233571451528e-01 2.121486920514623176e+00
3.729204524917136832e-01 1.661756591981442099e+00
4.809971668303907877e-01 2.716593323938309101e+00
6.203957786520267748e-01 2.411852350394926514e+00
8.001937406524780583e-01 2.326725206225803255e+00
1.032099257623331212e+00 2.422367475981642038e+00
