# R DS_M*8 DS_M*9
1.057420635683519426e-02 7.519283434032911551e+00 4.101463766529703037e+01
1.363873519173811229e-02 2.224270085723036772e+01 1.308623579492126332e+01
1.759140037116024152e-02 9.310063945618514580e+00 2.274548992032839934e+01
2.268959420855356721e-02 1.337993396998425411e+01 -3.248898006604863831e+00
2.926530432408507368e-02 5.300923202836499648e+00 2.167188650073556389e+01
3.774673223809543732e-02 8.374385785312686181e+00 9.437264938567864192e+00
4.868617728611359524e-02 3.703553136619324615e+00 1.080372972124185793e+01
6.279600161898633848e-02 4.354374850865185387e+00 9.616555825585708206e+00
8.099501828122505909e-02 3.082584836141346596e+00 4.092077514217350220e+00
1.044683230977003496e-01 2.218283663186555010e+00 5.229581851336404519e+00
1.347444665417815157e-01 2.125132673267719152e+00 5.730923826050338121e+00
1.737949909146091210e-01 2.236258199556764303e+00 3.927841466132695469e+00
2.241628145645833126e-01 1.355021201407964559e+00 3.478557170029905166e+00
2.891278233571451528e-01 2.041512773663894276e+00 3.103002171787515806e+00
3.729204524917136832e-01 1.960964319387443533e+00 3.328089470197812538e+00
4.809971668303907877e-01 2.232971670164660694e+00 3.608629863885449929e+00
6.203957786520267748e-01 2.445441980307588636e+00 3.727679451317541748e+00
8.001937406524780583e-01 2.345764130671675662e+00 3.403382346553293747e+00
1.032099257623331212e+00 2.284806683946325911e+00 2.992797902951359834e+00
