# R DS_M*8 DS_M*9
1.057420635683519426e-02 1.181738972278818522e+01 4.398545889330834768e+01
1.363873519173811229e-02 2.145736458111136358e+01 2.700447784869518131e+01
1.759140037116024152e-02 1.379896330062455867e+01 3.178585220828543711e+01
2.268959420855356721e-02 1.272201091806972428e+01 7.551524066581126071e+00
2.926530432408507368e-02 9.290974272607087414e+00 1.796659692184859480e+01
3.774673223809543732e-02 6.251190721173568221e+00 1.499483819748167868e+01
4.868617728611359524e-02 3.362456020086162400e+00 8.194723303062554365e+00
6.279600161898633848e-02 3.194880583954504250e+00 6.958447138920424102e+00
8.099501828122505909e-02 4.050754244939215098e+00 4.870777569318069489e+00
1.044683230977003496e-01 2.175643475106919134e+00 5.020751705209513638e+00
1.347444665417815157e-01 1.378863998802183355e+00 3.783788066211068113e+00
1.737949909146091210e-01 1.551540142445812398e+00 3.390591155964511660e+00
2.241628145645833126e-01 8.246667165335185290e-01 3.793104446422529197e+00
2.891278233571451528e-01 1.842117746753185514e+00 3.334229789709982850e+00
3.729204524917136832e-01 1.639932847219883083e+00 3.298835381575913051e+00
4.809971668303907877e-01 2.204906425744900922e+00 3.190105983804741197e+00
6.203957786520267748e-01 2.084892206177778373e+00 3.403227778714055685e+00
8.001937406524780583e-01 2.202643194612185606e+00 3.155061105074775885e+00
1.032099257623331212e+00 2.138172988956119625e+00 2.943198430765690876e+00
