# Mpeak_bin(M_sun) mean_M*8 std_M*8 mean_M*9 std_M*9
1.047500000000001386e+01 8.872074726185571469e-01 1.175192071242566888e-01 9.129944372123488527e-02 4.737485712366489715e-02
1.052500000000001457e+01 1.062169197757842465e+00 6.882240246933503391e-02 1.265888583293438840e-01 6.086656331856123148e-02
1.057500000000001528e+01 1.218697247369270320e+00 5.424668506097704568e-02 1.707541532388109906e-01 7.470472934433849965e-02
1.062500000000001599e+01 1.406715332992476419e+00 1.402113796452524319e-01 2.334309239212944698e-01 9.488863351540607893e-02
1.067500000000001670e+01 1.426061699076907052e+00 2.253723994738666969e-01 2.850328144294665966e-01 1.047760338956510856e-01
1.072500000000001741e+01 1.577244048890259043e+00 3.264744170509681354e-01 3.895639526793783225e-01 1.258393122232522587e-01
1.077500000000001812e+01 1.568271296139303939e+00 3.721733975272599193e-01 4.892965369307527568e-01 1.382367755152338340e-01
1.082500000000001883e+01 1.529990241361571801e+00 3.686414663197014052e-01 6.224340649458280916e-01 1.426814915573570985e-01
1.087500000000001954e+01 1.379799795443918509e+00 2.869624841872177590e-01 7.694137558641154229e-01 1.319247319181285349e-01
1.092500000000002025e+01 1.200213506985172041e+00 1.761900582820107586e-01 9.413022161478991068e-01 1.057084086751945984e-01
1.097500000000002096e+01 9.725665515270897066e-01 6.896596934880047658e-02 1.103068798515366655e+00 7.051307705126502734e-02
1.102500000000002167e+01 7.404247537741188712e-01 6.249953344374597347e-02 1.247969293379803668e+00 5.858241143714112975e-02
1.107500000000002238e+01 5.575206687289597784e-01 1.003012817627657732e-01 1.397941200184901422e+00 1.195848930225218432e-01
1.112500000000002309e+01 3.944535816246015902e-01 1.148556837235368971e-01 1.526628060590048408e+00 2.207535303752586331e-01
1.117500000000002380e+01 2.729685343513520435e-01 1.084784148012295779e-01 1.611872578715305204e+00 3.173391330273411803e-01
1.122500000000002451e+01 1.806940225825131030e-01 8.825985693092608386e-02 1.614056016961242346e+00 3.791518552586494173e-01
1.127500000000002522e+01 1.136869821048882845e-01 6.542013075604405370e-02 1.533691093342371747e+00 3.713022426473890358e-01
1.132500000000002593e+01 6.953194127440746886e-02 4.506507766773377305e-02 1.359335515227631408e+00 2.754668079181400997e-01
1.137500000000002665e+01 4.102790786617575153e-02 2.948698952502129197e-02 1.140990809911398784e+00 1.495537467140805599e-01
1.142500000000002736e+01 2.344553651736798125e-02 1.848763770688014244e-02 9.239120336453321425e-01 4.837602270662494375e-02
1.147500000000002807e+01 1.259346017766297364e-02 1.083583161495613699e-02 6.880697303857472580e-01 8.259349832803154767e-02
1.152500000000002878e+01 6.401144835601313941e-03 5.977603080117440196e-03 4.943498995500944515e-01 1.197016706439603395e-01
1.157500000000002949e+01 3.137085961263826311e-03 3.191638517796300308e-03 3.469224156045647711e-01 1.245937803766863222e-01
1.162500000000003020e+01 1.505264011058484288e-03 1.643097960642296660e-03 2.385451303425931702e-01 1.092572264893456740e-01
1.167500000000003091e+01 6.983831603739210775e-04 8.269711791696667544e-04 1.573187854022369270e-01 8.514360259059008951e-02
1.172500000000003162e+01 2.979748079286091093e-04 4.036186156799680103e-04 1.051525133176961779e-01 6.470074899205829899e-02
1.177500000000003233e+01 1.251442354023787624e-04 1.977611299956507653e-04 6.714607161229300958e-02 4.584222012033386390e-02
1.182500000000003304e+01 4.958052412007080617e-05 9.655765349566298290e-05 4.158153985866016450e-02 3.113026254671838119e-02
1.187500000000003375e+01 2.198933822960727453e-05 5.271632207766076018e-05 2.561639499829802130e-02 2.072500911963462075e-02
1.192500000000003446e+01 9.134158112350151802e-06 2.894594579614718195e-05 1.574186000185947773e-02 1.379677637663904999e-02
1.197500000000003517e+01 3.436203654545202648e-06 1.851148045215884446e-05 9.569604275738606211e-03 8.973424410440031598e-03
1.202500000000003588e+01 1.330680022738076110e-06 9.952552673574113811e-06 5.573744692418091014e-03 5.627625944481081700e-03
1.207500000000003659e+01 1.393887419183072941e-06 9.260364107947425643e-06 3.412529302237492061e-03 3.639985083693874409e-03
1.212500000000003730e+01 3.896336080151973469e-07 4.912775342093456871e-06 2.068111751184031292e-03 2.362628114303390401e-03
1.217500000000003801e+01 1.497360308457878497e-07 3.058913423004550832e-06 1.153773650305331367e-03 1.420424740650777029e-03
1.222500000000003872e+01 9.810424642800005249e-09 7.753446609518602853e-07 6.781092703087726343e-04 8.914398265473963369e-04
1.227500000000003944e+01 6.451306370740458881e-09 6.295127187032217245e-07 4.185067525654527932e-04 5.962767316286053231e-04
